Plot,Subplot,Date,Exposure,Focus,Openness
JZ,028B,20May2021,EV-4,AF,0.05284298684231599
JZ,028B,20May2021,EV0,AF,0.1844338953705797
JZ,028C,20May2021,EV-2,AF,0.06565106947405425
JZ,028C,20May2021,EV-4,AF,0.034173706322532665
JZ,028C,20May2021,EV0,AF,0.14126516026322672
JZ,029A,20May2021,EV-2,AF,0.07262767056499386
JZ,029A,20May2021,EV-4,AF,0.04614086025606833
JZ,029A,20May2021,EV0,AF,0.20047574806976337
JZ,029B,02Aug2021,EV-2,AF,0.06377123529183204
JZ,029B,02Aug2021,EV-4,AF,0.023700767490748995
JZ,029B,02Aug2021,EV0,AF,0.17997839000192833
JZ,029C,02Aug2021,EV-2,AF,0.10359922343037833
JZ,029C,02Aug2021,EV-4,AF,0.04800242076773063
JZ,029C,02Aug2021,EV0,AF,0.23647677379523752
JZ,030A,02Aug2021,EV-2,AF,0.08833781212525915
JZ,030A,02Aug2021,EV-4,AF,0.03909858784622665
JZ,030A,02Aug2021,EV0,AF,0.22285390421910373
JZ,030B,02Aug2021,EV-2,AF,0.1526655371909479
JZ,030B,02Aug2021,EV-4,AF,0.12383429983004976
JZ,030B,02Aug2021,EV0,AF,0.21376057469931514
JZ,030C,02Aug2021,EV-2,AF,0.12902404834860615
JZ,030C,02Aug2021,EV-4,AF,0.07123156739183048
JZ,030C,02Aug2021,EV0,AF,0.25983771249591636
JZ,031A,02Aug2021,EV-2,AF,0.12011081599528037
JZ,031A,02Aug2021,EV-4,AF,0.07455380013611927
JZ,031A,02Aug2021,EV0,AF,0.20429672280588435
JZ,031B,02Aug2021,EV-2,AF,0.060273209768309674
JZ,031B,02Aug2021,EV-4,AF,0.030777994813016983
JZ,031B,02Aug2021,EV0,AF,0.12142415442228124
JZ,031C,02Aug2021,EV-2,AF,0.07140318287462269
JZ,031C,02Aug2021,EV-4,AF,0.037301151026620405
JZ,031C,02Aug2021,EV0,AF,0.17126087390776545
JZ,032A,25Jun2021,EV-2,AF,0.19714491230783024
JZ,032A,25Jun2021,EV-4,AF,0.046407059546589316
JZ,032A,25Jun2021,EV0,AF,0.7381087752540686
JZ,032B,25Jun2021,EV-2,AF,0.12001539068861218
JZ,032B,25Jun2021,EV-4,AF,0.03034010314158285
JZ,032B,25Jun2021,EV0,AF,0.4812082499705963
JZ,032C,25Jun2021,EV-2,AF,0.1526179492359474
JZ,032C,25Jun2021,EV-4,AF,0.019915195843901636
JZ,032C,25Jun2021,EV0,AF,0.5702443098212453
JZ,033A,02Aug2021,EV-2,AF,0.09852424008919906
JZ,033A,02Aug2021,EV-4,AF,0.044519323323836325
JZ,033A,02Aug2021,EV0,AF,0.21808202388205358
JZ,033B,02Aug2021,EV-2,AF,0.11072485402104344
JZ,033B,02Aug2021,EV-4,AF,0.08318154190371867
JZ,033B,02Aug2021,EV0,AF,0.17565321738107997
JZ,033C,02Aug2021,EV-2,M,0.1181556263852647
JZ,033C,02Aug2021,EV-4,M,0.054773183354629204
JZ,033C,02Aug2021,EV0,M,0.24846494701464195
JZ,034A,16Jun2021,EV-2,M,0.11654992033844984
JZ,034A,16Jun2021,EV-4,M,0.07092148754642626
JZ,034A,16Jun2021,EV0,M,0.21976226393617626
JZ,034B,16Jun2021,EV-2,AF,0.07865036524985453
JZ,034B,16Jun2021,EV-4,AF,0.04444264935624304
JZ,034B,16Jun2021,EV0,AF,0.1630950655112956
JZ,034C,25Jun2021,EV-2,AF,0.28526066540321793
JZ,034C,25Jun2021,EV-4,AF,0.09336985378642113
JZ,034C,25Jun2021,EV0,AF,0.7926831801442182
JZ,035A,14Jun2021,EV-2,AF,0.07579075387411838
JZ,035A,14Jun2021,EV-4,AF,0.035708032269987776
JZ,035A,14Jun2021,EV0,AF,0.15634396909128195
JZ,035B,14Jun2021,EV-2,M,0.08905047314700784
JZ,035B,14Jun2021,EV-4,M,0.038529005801928154
JZ,035B,14Jun2021,EV0,M,0.23958966608994942
JZ,035C,14Jun2021,EV-2,AF,0.06890659149559711
JZ,035C,14Jun2021,EV-4,AF,0.0389096605223554
JZ,035C,14Jun2021,EV0,AF,0.13088151307506316
JZ,036A,14Jun2021,EV-2,AF,0.0598148334823551
JZ,036A,14Jun2021,EV-4,AF,0.025975965317317353
JZ,036A,14Jun2021,EV0,AF,0.20085315186237696
JZ,036B,14Jun2021,EV-2,AF,0.08226496060567691
JZ,036B,14Jun2021,EV-4,AF,0.029238982214255638
JZ,036B,14Jun2021,EV0,AF,0.18805087803016476
JZ,036C,14Jun2021,EV-2,AF,0.08468601973702775
JZ,036C,14Jun2021,EV-4,AF,0.05585388128075528
JZ,036C,14Jun2021,EV0,AF,0.16303837508137825
JZ,037A,14Jun2021,EV-2,M,0.0657753934570543
JZ,037A,14Jun2021,EV-4,M,0.028233525319043773
JZ,037A,14Jun2021,EV0,M,0.19666074050847532
JZ,037B,14Jun2021,EV-2,AF,0.06086336144351352
JZ,037B,14Jun2021,EV-4,AF,0.023460362986220583
JZ,037B,14Jun2021,EV0,AF,0.20122475629107495
JZ,037C,14Jun2021,EV-2,AF,0.15490665238168128
JZ,037C,14Jun2021,EV-4,AF,0.12301527517930178
JZ,037C,14Jun2021,EV0,AF,0.2231383264000398
JZ,038A,14Jun2021,EV-2,M,0.041770493993874544
JZ,038A,14Jun2021,EV-4,M,0.017358008121719913
JZ,038A,14Jun2021,EV0,M,0.12549263050778658
JZ,038B,14Jun2021,EV-2,AF,0.09680356455042856
JZ,038B,14Jun2021,EV-4,AF,0.058366804550111735
JZ,038B,14Jun2021,EV0,AF,0.15570183562821927
JZ,038C,14Jun2021,EV-2,AF,0.0791071860292107
JZ,038C,14Jun2021,EV-4,AF,0.05155283653758854
JZ,038C,14Jun2021,EV0,AF,0.17359707874253832
JZ,039A,14Jun2021,EV-2,AF,0.060698572887231586
JZ,039A,14Jun2021,EV-4,AF,0.03121263304742344
JZ,039A,14Jun2021,EV0,AF,0.21837369111377397
JZ,039B,14Jun2021,EV-2,AF,0.08268322255610935
JZ,039B,14Jun2021,EV-4,AF,0.050324227266045365
JZ,039B,14Jun2021,EV0,AF,0.2263283220527561
JZ,039C,14Jun2021,EV-2,M,0.06451877492229513
JZ,039C,14Jun2021,EV-4,M,0.03487518151980752
JZ,039C,14Jun2021,EV0,M,0.19220432466958282
JZ,040A,13Jun2021,EV-2,M,0.09203731691434613
JZ,040A,13Jun2021,EV-4,M,0.04593889224859683
JZ,040A,13Jun2021,EV0,M,0.2219082674557658
JZ,040B,13Jun2021,EV-2,AF,0.06870283610841141
JZ,040B,13Jun2021,EV-4,AF,0.03487328524892985
JZ,040B,13Jun2021,EV0,AF,0.1678882302460351
JZ,040C,13Jun2021,EV-2,AF,0.06799321606221997
JZ,040C,13Jun2021,EV-4,AF,0.03513728987384519
JZ,040C,13Jun2021,EV0,AF,0.18050683020201458
JZ,041A,13Jun2021,EV-2,AF,0.071035308514946
JZ,041A,13Jun2021,EV-4,AF,0.038578521000918506
JZ,041A,13Jun2021,EV0,AF,0.15731319262832982
JZ,041B,13Jun2021,EV-2,M,0.09023330882409106
JZ,041B,13Jun2021,EV-4,M,0.04048876147726334
JZ,041B,13Jun2021,EV0,M,0.28443596859381715
JZ,041C,13Jun2021,EV-2,M,0.06974243362064599
JZ,041C,13Jun2021,EV-4,M,0.03133103167108808
JZ,041C,13Jun2021,EV0,M,0.18525600476306942
JZ,042A,13Jun2021,EV-2,M,0.10932468488972324
JZ,042A,13Jun2021,EV-4,M,0.05420001710457683
JZ,042A,13Jun2021,EV0,M,0.2604723980027483
JZ,042B,13Jun2021,EV-2,AF,0.11049888070073102
JZ,042B,13Jun2021,EV-4,AF,0.06320891337243616
JZ,042B,13Jun2021,EV0,AF,0.19377525207746155
JZ,042C,13Jun2021,EV-2,AF,0.10380403264916296
JZ,042C,13Jun2021,EV-4,AF,0.054289942770339814
JZ,042C,13Jun2021,EV0,AF,0.23696516082479102
JZ,043A,13Jun2021,EV-2,AF,0.08446297215266077
JZ,043A,13Jun2021,EV-4,AF,0.04258258260426317
JZ,043A,13Jun2021,EV0,AF,0.18645164510369686
JZ,043B,13Jun2021,EV-2,AF,0.06734405249673261
JZ,043B,13Jun2021,EV-4,AF,0.032302282528444054
JZ,043B,13Jun2021,EV0,AF,0.1751094722537961
JZ,043C,13Jun2021,EV-2,M,0.15250859749834061
JZ,043C,13Jun2021,EV-4,M,0.07327348235381864
JZ,043C,13Jun2021,EV0,M,0.2969009667707514
JZ,044A,13Jun2021,EV-2,M,0.07366989135739832
JZ,044A,13Jun2021,EV-4,M,0.029458249649949347
JZ,044A,13Jun2021,EV0,M,0.1949579759389709
JZ,044B,13Jun2021,EV-2,M,0.13975718621384464
JZ,044B,13Jun2021,EV-4,M,0.09275354890768575
JZ,044B,13Jun2021,EV0,M,0.24796333205919638
JZ,044C,13Jun2021,EV-2,M,0.1591337382162589
JZ,044C,13Jun2021,EV-4,M,0.0933528774686638
JZ,044C,13Jun2021,EV0,M,0.36592778299605133
JZ,045A,12Jun2021,EV-2,M,0.08173854034539293
JZ,045A,12Jun2021,EV-4,M,0.03890293257277577
JZ,045A,12Jun2021,EV0,M,0.2030163098219933
JZ,045B,12Jun2021,EV-2,M,0.13090317798281859
JZ,045B,12Jun2021,EV-4,M,0.06632709592923303
JZ,045B,12Jun2021,EV0,M,0.2565283229225631
JZ,045C,12Jun2021,EV-2,M,0.061233062940513575
JZ,045C,12Jun2021,EV-4,M,0.0240926287587898
JZ,045C,12Jun2021,EV0,M,0.17094066080105338
JZ,046A,12Jun2021,EV-2,M,0.08084353194800623
JZ,046A,12Jun2021,EV-4,M,0.03952040553153187
JZ,046A,12Jun2021,EV0,M,0.19021213068759596
JZ,046B,12Jun2021,EV-2,AF,0.07112717587350441
JZ,046B,12Jun2021,EV-4,AF,0.041921381903909524
JZ,046B,12Jun2021,EV0,AF,0.11936207076749115
JZ,046C,12Jun2021,EV-2,M,0.09875260939970917
JZ,046C,12Jun2021,EV-4,M,0.053811203531573086
JZ,046C,12Jun2021,EV0,M,0.18569162478520662
JZ,047A,12Jun2021,EV-2,AF,0.09114157294163204
JZ,047A,12Jun2021,EV-4,AF,0.0448849692112214
JZ,047A,12Jun2021,EV0,AF,0.18228940866019258
JZ,047B,12Jun2021,EV-2,AF,0.1423917283526144
JZ,047B,12Jun2021,EV-4,AF,0.08030187096945515
JZ,047B,12Jun2021,EV0,AF,0.25676772992383434
JZ,047C,12Jun2021,EV-2,AF,0.21505359367781163
JZ,047C,12Jun2021,EV-4,AF,0.1402076965898198
JZ,047C,12Jun2021,EV0,AF,0.34148826822163164
JZ,048A,12Jun2021,EV-2,AF,0.1490935406806989
JZ,048A,12Jun2021,EV-4,AF,0.07021049187934267
JZ,048A,12Jun2021,EV0,AF,0.2455054126952108
JZ,048B,12Jun2021,EV-2,AF,0.12331227786545514
JZ,048B,12Jun2021,EV-4,AF,0.06171425156548761
JZ,048B,12Jun2021,EV0,AF,0.20635714154385051
JZ,048C,12Jun2021,EV-2,AF,0.13194471059483792
JZ,048C,12Jun2021,EV-4,AF,0.06791528081020445
JZ,048C,12Jun2021,EV0,AF,0.2328083413578565
JZ,049A,12Jun2021,EV-2,M,0.23586147678933703
JZ,049A,12Jun2021,EV-4,M,0.13213920379299998
JZ,049A,12Jun2021,EV0,M,0.46046229646893744
JZ,049B,12Jun2021,EV-2,M,0.15956603325944246
JZ,049B,12Jun2021,EV-4,M,0.08705773064580723
JZ,049B,12Jun2021,EV0,M,0.37601005403013477
JZ,049C,12Jun2021,EV-2,AF,0.17840327162631914
JZ,049C,12Jun2021,EV-4,AF,0.09600578853184417
JZ,049C,12Jun2021,EV0,AF,0.2795058377536408
JZ,050A,01Jun2021,EV-2,AF,0.22999592349482118
